"Year","month","SubwayLine","total_gated_entries","year"
2021,1,"BLUE",430032.8,2021
2021,1,"GREEN",352840.08,2021
2021,1,"ORANGE",886469.600000001,2021
2021,1,"RED",974724.320000003,2021
2021,1,"SILVER",41401.2000000001,2021
2021,2,"BLUE",425660.5,2021
2021,2,"GREEN",392073.07,2021
2021,2,"ORANGE",889812.979999999,2021
2021,2,"RED",983308.950000003,2021
2021,2,"SILVER",42528.5000000001,2021
2021,3,"BLUE",536813.499999999,2021
2021,3,"GREEN",506396.450000002,2021
2021,3,"ORANGE",1046957.85,2021
2021,3,"RED",1237218.2,2021
2021,3,"SILVER",54032,2021
2021,4,"BLUE",570766.9,2021
2021,4,"GREEN",594095.229999997,2021
2021,4,"ORANGE",1096676.66,2021
2021,4,"RED",1321989.21,2021
2021,4,"SILVER",58871,2021
2021,5,"BLUE",636213.699999998,2021
2021,5,"GREEN",658495.95,2021
2021,5,"ORANGE",1286374.04,2021
2021,5,"RED",1483590.51,2021
2021,5,"SILVER",70752.8,2021
2021,6,"BLUE",716240.399999998,2021
2021,6,"GREEN",747098.210000001,2021
2021,6,"ORANGE",1435376.4,2021
2021,6,"RED",1733633.69,2021
2021,6,"SILVER",90558.3,2021
2021,7,"BLUE",753958.499999998,2021
2021,7,"GREEN",866455.900000001,2021
2021,7,"ORANGE",1553382,2021
2021,7,"RED",1901223.7,2021
2021,7,"SILVER",105425.9,2021
2021,8,"BLUE",782793.2,2021
2021,8,"GREEN",915473.190000003,2021
2021,8,"ORANGE",1641142.16999999,2021
2021,8,"RED",2004421.74,2021
2021,8,"SILVER",98472.7000000001,2021
2021,9,"BLUE",826947.6,2021
2021,9,"GREEN",1118385.41,2021
2021,9,"ORANGE",1903607.89,2021
2021,9,"RED",2332335.6,2021
2021,9,"SILVER",115442.5,2021
2021,10,"BLUE",854338.999999998,2021
2021,10,"GREEN",1221168.78,2021
2021,10,"ORANGE",2070854.66,2021
2021,10,"RED",2458668.35999999,2021
2021,10,"SILVER",121135.2,2021
2021,11,"BLUE",744390.1,2021
2021,11,"GREEN",1040550,2021
2021,11,"ORANGE",1939049.76,2021
2021,11,"RED",2238510.34,2021
2021,11,"SILVER",115725.8,2021
2021,12,"BLUE",721731.8,2021
2021,12,"GREEN",907838.640000003,2021
2021,12,"ORANGE",1781559.26,2021
2021,12,"RED",1933408.4,2021
2021,12,"SILVER",103607.9,2021
2022,1,"BLUE",589850.100000001,2022
2022,1,"GREEN",699912.929999998,2022
2022,1,"ORANGE",1439910.26,2022
2022,1,"RED",1547588.81,2022
2022,1,"SILVER",79490.9,2022
2022,2,"BLUE",645962.399999999,2022
2022,2,"GREEN",905925.800000002,2022
2022,2,"ORANGE",1621672.17,2022
2022,2,"RED",1921450.83,2022
